Company Name,Email Domain,Email,Source
7 Steel UK,celsauk.com,queries@celsauk.com,Bar UK
AG Siderurgica Balboa S.A.,,,Eurofer
AG der Dillinger Hüttenwerke,dillinger.biz,info@dillinger.biz,Eurofer
AGSI (ICAD II),agsi.ae,chatterjee.d@agsi.ae,Cares UK
AGSI HFZ Plant,agsi.ae,aakif.m@agsi.ae,Cares UK
AL TILAL STEEL COMPANY LIMITED,tilalsteel.com,magad@tilalsteel.com,Cares UK
ALPA,rivagroup.com,alexandre.godard@rivagroup.com,Cares UK
AMCLN,www.arcelormittalcln.com,,Eurometal
AMDS,europe.arcelormittal.com,,Eurometal
AMSCI,amsci.us,,Eurometal
ARDIMET,www.ardimet.ro,,Eurometal
ARGE-SMD,www.wko.at,,Eurometal
ARMATURIS,samt.fr,r.hamissi@samt.fr,Cares UK
ARMF Avonmouth Bristol,laingorourke.com,pholland@laingorourke.com,Cares UK
ASSOFERMET (IT),www.assofermet.it,,Eurometal
Acciaieria Arvedi S.p.A.,arvedi.it,info@arvedi.it,Eurofer
Acciaierie Venete S.p.A. Dolcé,acciaierievenete.com,soardo.francesco@acciaierievenete.com,Cares UK
Acciaierie Venete S.p.A. Mura,acciaierievenete.com,bazzoli.pierantonio@acciaierievenete.com,Cares UK
Acciaierie Venete S.p.A. Odolo,acciaierievenete.com,pelizzari.ivano@acciaierievenete.com,Cares UK
Acciaierie Venete S.p.A. Sarezzo,acciaierievenete.com,bianchetti.fabio@acciaierievenete.com,Cares UK
Acciaierie d’Italia S.p.A.,legalmail.it,adit@legalmail.it,Eurofer
Acerinox SA,acerinox.com,,Eurofer
Aceros Inoxidables Olarra SA,olarra.com,Inigo.arriola@olarra.com,Cares UK
Aciers Grosjean,www.aciersgrosjean.be/fr,,Eurometal
African Foundries Limited,africanindustries.com,s.singh@africanindustries.com,Cares UK
Akdemir Celik Sanayi Ve Ticaret A.S,akdemircelik.com.tr,s.cinar@akdemircelik.com.tr,Cares UK
Akela Ground Engineering Limited,akelagroundengineering.co.uk,Will.payne@akelagroundengineering.co.uk,Cares UK
Al Ezz Dekheila Steel Company-Alexandria (S.A.E),ezzsteel.com.eg,yfathalah@ezzsteel.com.eg,Cares UK
Al Ittefaq Steel Products Company - Makkah,altuwairqi.com,dowla@altuwairqi.com,Cares UK
Al Jazeera Steel Products Co. S.A.O.G ( Oman ),jazeerasteel.com,r.chitte@jazeerasteel.com,Cares UK
Al Kawther Steel W.L.L,alkawthersteel.com,director@alkawthersteel.com,Cares UK
Al Qataria for Production of Reinforcing Steel,alqataria-steel.com,info@alqataria-steel.com,Cares UK
Al Rajhi Steel Industries Co. Ltd. Jeddah Western Region,rajhisteel.com,gadalla@rajhisteel.com,Cares UK
Aliaga Kiliclar Demir Celik Tesisi,kiliclar.com.tr,a.cakar@kiliclar.com.tr,Cares UK
All Steels Trading Ltd,allsteelstrading.co.uk,scarlettr@allsteelstrading.co.uk,Cares UK
Alliance Steel (M) Sdn Bhd,alliancesteel.com.my,binzheng@alliancesteel.com.my,Cares UK
Almet Trading UK Limited,almettrading.com,e.jamalli@almettrading.com,Cares UK
Ann Joo Steel Berhad,annjoo.com.my,mohamad.shahrizal.mt.isa@annjoo.com.my,Cares UK
Aperam,aperam.com,,Eurofer
Aptus Construction Systems Pty Ltd,aptus.systems,norm@aptus.systems,Cares UK
ArcelorMittal Espana,arcelormittal.com,pablo.mateos@arcelormittal.com,Cares UK
ArcelorMittal Group,arcelormittal.com,,Eurofer
ArcelorMittal Hamburg GmbH,arcelormittal.com,peter.kehl@arcelormittal.com,Cares UK
ArcelorMittal International,sections.arcelormittal.com,,Eurometal
ArcelorMittal Kent Wire Limited,amcs.uk.net,David@amcs.uk.net,Cares UK
ArcelorMittal Kent Wire Limited,arcelormittalkentwire.co.uk,sales@arcelormittalkentwire.co.uk,Bar UK
ArcelorMittal Kent Wire Limited T\A AMCS,amcs.uk.net,David@amcs.uk.net,Cares UK
ArcelorMittal Kryvyi Rih PJSC,arcelormittal.com,bogdan.shushpanov@arcelormittal.com,Cares UK
ArcelorMittal Warszawa Sp z o.o.,arcelormittal.com,Agnieszka.kubacka@arcelormittal.com,Cares UK
Atlas-Blech-Center Steel (AT),www.abcsteel.at,,Eurometal
Austria: Fachverband Bergwerke und Stahl,,,Eurofer
Ayes Dilovasi Factory,ayescelik.com,ebenlioglu@ayescelik.com,Cares UK
AÇOMEFER,www.acomefer.pt,,Eurometal
BARTEC,bartec.eu,a.cuq@bartec.eu,Cares UK
BBR Construction Systems Pte Ltd,bbr.com.sg,cheong.wj@bbr.com.sg,Cares UK
BCD Civil Engineering,bcdsteel.ie,john@bcdsteel.ie,Cares UK
BELMETAL (BE),www.belmetal.be,,Eurometal
BES Brandenburger Elektrostahlwerke GmbH,rivagroup.com,christian.schwalbe@rivagroup.com,Cares UK
BRC (Mansfield) Limited,brc.ltd.uk,Gary.smith@brc.ltd.uk,Cares UK
BRC (Newhouse) Limited,brc.ltd.uk,helen.cree@brc.ltd.uk,Cares UK
BRC (Newport) Limited,brc.ltd.uk,gary.smith@brc.ltd.uk,Cares UK
BRC (Southampton) Limited,rom.co.uk,mick.whyte@rom.co.uk,Cares UK
BRC Asia Limited (JBL),brc.com.sg,poh.cheeheong@brc.com.sg,Cares UK
BRC Ltd,brc.ltd.uk,enquiries@brc.ltd.uk,Bar UK
BRC McMahon Reinforcements Ltd,brcmcmahon.com,fcreegan@brcmcmahon.com,Cares UK
BRC Prefab Holdings Sdn Bhd,brcprefab.com,tim.chiacheng@brcprefab.com,Cares UK
BRC Weldmesh (Gulf) WLL,brcgulf.com,marwan@brcgulf.com,Cares UK
BSW - Badische Stahlwerke GmbH,bsw-kehl.de,info@bsw-kehl.de,Eurofer
Badische Drahtwerke GmbH,bdw-kehl.de,ralf.haeussler@bdw-kehl.de,Cares UK
Badische Stahlwerke GmbH,bsw-kehl.de,maximilian.rank@bsw-kehl.de,Cares UK
Balfour Beatty Ground Engineering,balfourbeatty.com,chris.wilson@balfourbeatty.com,Cares UK
Barnfather Wire (Midlands) Ltd.,barnfatherwire.co.uk,richard@barnfatherwire.co.uk,Cares UK
Becker Stahl Service (DE),www.becker-stahl-service.de,,Eurometal
Belgium: Groupement de la Sidérurgie asbl,steelbel.be,,Eurofer
Benxi Beiying Iron & Steel (Group) Co. Ltd.,163.com,zgtianweida@163.com,Cares UK
Betomax Neuss / Betomax Halle,betomax.de,gpuettmann@betomax.de,Cares UK
Boswell Rod & Wire Ltd,btinternet.com,paultod@btinternet.com,Cares UK
Brazil & Co. (Steel) Ltd. T\A Fairyhouse Steel,fairyhousesteel.ie,austin.mcmahon@fairyhousesteel.ie,Cares UK
British Steel Scunthorpe,britishsteel.co.uk,niamh.worley@britishsteel.co.uk,Cares UK
Bulgaria: BAMI - Bulgarian Association of the Metallurgical Industry,,,Eurofer
Burghardt + Schmidt,b-s-germany.de,,Eurometal
CAPREMIB,capremib.fr,mcguillemont@capremib.fr,Cares UK
CCL (GB) Ltd,cclint.com,swilson@cclint.com,Cares UK
CCL Stressing Systems Ltd.,cclint.com,swilson@cclint.com,Cares UK
CELSA ATLANTIC Long Products,celsaatlantic.com,jramarey@celsaatlantic.com,Cares UK
CELSA Armeringsstål AS,celsanordic.com,vegard.strand@celsanordic.com,Cares UK
CELSA France,celsafrance.com,SDUMORA@celsafrance.com,Cares UK
CELSA Group,gcelsa.com,info@gcelsa.com,Eurofer
CES Precast Pte Ltd,chipengseng.com.sg,shwesinwin.pyae@chipengseng.com.sg,Cares UK
CMC Deustschland,www.cmc.com,,Eurometal
CMC Poland,cmc.com,,Eurofer
COMET Group,www.cometgroup.be,,Eurometal
CONADIAC,www.conadiac.org.mx,,Eurometal
CONSTRUCT - Concrete Structures Group,construct.org.uk,enquiries@construct.org.uk,Bar UK
Cargill International Trading,www.cargill.com,,Eurometal
Cebitas Demir Celik End AS,cebitas.com.tr,ozkan.odun@cebitas.com.tr,Cares UK
Central ReBar Ltd.,hy-ten.co.uk,central@hy-ten.co.uk,Cares UK
Chadwicks / Heiton Steel Castlebar,chadwicks.ie,MICHAEL.MCMANAMON@CHADWICKS.IE,Cares UK
Cofralux,www.cofralux.com,,Eurometal
Cogne Acciai Speciali S.p.a.,cogne.com,federico.gregori@cogne.com,Cares UK
Coil Pro (BE),coilpro.be,,Eurometal
Colakoglu Metalurji A.S.,colakoglu.com.tr,dtaskiran@colakoglu.com.tr,Cares UK
Collins Reinforcements Ltd,rebar.co.uk,mc@rebar.co.uk,Cares UK
Comet Trading SA,comet-trading.com,ann.collins@comet-trading.com,Cares UK
Compañia Española de Laminación,gcelsa.com,rcejas@gcelsa.com,Cares UK
Conares Metal Supply Ltd (Rebar Mill Division),conares.com,ramesh.s@conares.com,Cares UK
Concrete Innovators Co. Pte Ltd,coninco.com.sg,kelvin.tee@coninco.com.sg,Cares UK
Conti 7,www.conti7.be,,Eurometal
Conti-Lines,www.contilines.be,,Eurometal
Crosbe,crosbe.com,Luciano@crosbe.com,Cares UK
Czech Republic: Ocelarska Unie - Czech Steel Union,,,Eurofer
DM-Stahl (DE),www.dm-stahl.de,,Eurometal
DYWIDAG Ltd,dywidag.com,gary.whiteman@dywidag.com,Cares UK
Daehan Steel Co.,idaehan.com,mhoh@idaehan.com,Cares UK
Decomo S.A. - Mouscron,decomo.be,kristof.soenen@decomo.be,Cares UK
Deutsche Edelstahlwerke,dew-stahl.com,,Eurofer
Dextra Manufacturing - UK,dextragroup.com,rgoodman@dextragroup.com,Bar UK
Diler Iron and Steel Co Inc,dilerhld.com,MuratGuney@dilerhld.com,Cares UK
Dominick Lydon (Galway) Ltd,dominiclydon.ie,derek@dominiclydon.ie,Cares UK
Dongkuk Steel Incheon Factory,dongkuk.com,jungho1.kim@dongkuk.com,Cares UK
Dongkuk Steel Pohang Factory,dongkuk.com,jeongkwan.kim@dongkuk.com,Cares UK
Duferco Group,duferco.com,,Eurofer
Duferco UK Ltd,dith.com,david.mann@dith.com,Cares UK
Dyfed Reinforcements,dyfedreinforcements.co.uk,mikec@dyfedreinforcements.co.uk,Cares UK
Dynahurst Ltd,dynahurst.com,gemma@dynahurst.com,Cares UK
EKINCILER DEMIR VE CELIK SAN.A.Ş,ekincilerdc.com,thuyukpinar@ekincilerdc.com,Cares UK
ELASTRON (GR),www.elastron.gr,,Eurometal
EMW Stahl-Service-Center (DE),www.emw-stahlservice.de,,Eurometal
ENGINEERED REINFORCING STEEL INDUSTRIES UK LIMITED,ersigroup.com,veugui@ersigroup.com,Cares UK
EPS Steels Ltd - Head Office,epssteels.co.uk,bc@epssteels.co.uk,Cares UK
ERICO Europa (GB) Ltd,erico.com,mallen@erico.com,Bar UK
ERICO Europe B.V. (a nVent company),nvent.com,Dennis.Dingemans@nVent.com,Cares UK
ESL Steel Limited,vedanta.co.in,umeshkumar.ranjan@vedanta.co.in,Cares UK
El Marakby Steel,elmarakbysteel.com,Saied.Soliman@elmarakbysteel.com,Cares UK
Elastron,www.elastron.gr,,Eurometal
Ellis Steel Group Limited,ellissteelgroup.co.uk,steph@ellissteelgroup.co.uk,Cares UK
Emirates Steel LLC,anieuae.com,hse.esl@anieuae.com,Cares UK
Erico Limited (EFS),nvent.com,lo.yukhoi@nvent.com,Cares UK
Essen Steel Industry LLC,essensteel.com,shrivastava.vyomkesh@essensteel.com,Cares UK
Eusider Trading,www.eusidertrading.com,,Eurometal
Explore Manufacturing,laingorourke.com,mfinbow@laingorourke.com,Cares UK
Express Reinforcements Ltd,expressreinforcements.co.uk,neath@expressreinforcements.co.uk,Bar UK
F Brazil Reinforcements Limited (Thorn Street),fbrazilreinforcements.co.uk,j.fitzgerald@fbrazilreinforcements.co.uk,Cares UK
FALK Bouwsystemen B.V.,falkbouwsystemen.nl,Arie@falkbouwsystemen.nl,Cares UK
FC Civils Solutions Limited (FCCS),fccivilssolutions.com,zcaglar@fccivilssolutions.com,Cares UK
FER Celik Company,fercelik.com,batuhan@fercelik.com,Cares UK
FFDM,www.ffdm.fr,,Eurometal
Fapricela Industria de Trefilaria,fapricela.pt,n.batista@fapricela.pt,Cares UK
Fender Steel Ltd.,gmail.com,julianarrand@gmail.com,Cares UK
Feralpi Siderurgica SPA,it.feralpigroup.com,alessandro.milan@it.feralpigroup.com,Cares UK
Ferona,www.ferona.cz,,Eurometal
Ferona (CZ),www.ferona.cz,,Eurometal
Ferriere Nord's Osoppo Production Site,pittini.it,cristiano.ascanio@pittini.it,Cares UK
FerroMac Europe,ferromac.com,,Eurometal
Finland: Metallinjalostajat - Association of the Finnish Steel and Metal Producers,,,Eurofer
Foregale Ltd,foregale.co.uk,tim.scott@foregale.co.uk,Cares UK
Fosroc International Limited,fosroc.com,Jonathan.potter@fosroc.com,Cares UK
France: Alliance des Minerais Minéraux et Métaux - A3M,,,Eurofer
GFG Alliance-Liberty Steel,libertyhousegroup.com,,Eurofer
Gallega de cordones y alambres,galcore.es,juan@galcore.es,Cares UK
Georgsmarienhütte Group,gmh-gruppe.de,,Eurofer
Geosteel LLC,geosteel.com.ge,rpal@geosteel.com.ge,Cares UK
Global Consolidated Contractors (International) Ltd,gcc-intl.com,holly.piggott@gcc-intl.com,Cares UK
Global Special Steel Products SAU (Tycsa PSC),tycsa.com,icano@tycsa.com,Cares UK
Global Steel Wire,globalsteelwire.com,bloma@globalsteelwire.com,Cares UK
Grannell Steel Limited,grannell.co.uk,patrick@grannell.co.uk,Cares UK
Greece: Hellenic Steelmakers Union - ENXE,,,Eurofer
Green Piling Ltd,greenpiling.co.uk,adrian.kay@greenpiling.co.uk,Cares UK
GreenSteel SL,www.taiichio-wolf.com,,Eurometal
Grosjean Steel Trading,grosjeansteeltrading.com,,Eurometal
Guangdong Zhongnan Iron & Steel Co.,baosteel.com,A32645@baosteel.com,Cares UK
Guangxi Iron and Steel Group Company Limited,139.com,13707825097@139.com,Cares UK
Gulf Steel Industries,emirates.net.ae,glfsteel@emirates.net.ae,Cares UK
Gökmetal,gokmetal.com.tr,,Eurometal
Gökmetal (TR),gokmetal.com.tr,,Eurometal
HABAS SINAI VE TIBBI GAZLAR ISTIHSAL ENDUSTRISI A.S. (HABAS A.S),habas.com.tr,orhan.saman@habas.com.tr,Cares UK
HL Building Materials Pte Ltd (R3 Precast) UEN: 199206970H,bmg.hla-grp.com,cliffordkanggat@bmg.hla-grp.com,Cares UK
Heinrich Georg Maschinenfabrik,www.georg.com/de,,Eurometal
Heinrich Schütt  (DE),www.heinrich-schuett.de/schuett-stahl-service-center-gelsenkirchen.php,,Eurometal
Heiton Steel,heitonsteel.ie,aidan.butler@heitonsteel.ie,Cares UK
Heiton Steel Cork,heitons.ie,ivan.holden@heitons.ie,Cares UK
Heiton Steel Limerick,chadwicks.ie,brian.doherty@chadwicks.ie,Cares UK
Heiton Steel Waterford,heitons.ie,mark.omahony@heitons.ie,Cares UK
Hellenic Halyvourgia,hlv.gr,info@hlv.gr,Eurofer
Hickman and Love Limited,hickmanandlove.co.uk,quality@hickmanandlove.co.uk,Cares UK
Hickman and Love Limited - (Fountain Lane Depot),hickmanandlove.co.uk,quality@hickmanandlove.co.uk,Cares UK
High Street Manufacturing Inc,steelasia.com,kcenriquez@steelasia.com,Cares UK
Hoa Phat Dung Quat Steel JSC,hoaphat.com.vn,maivanha@hoaphat.com.vn,Cares UK
Huzhou Shengtelong Metal Product Co.,qq.com,798447580@qq.com,Cares UK
Hy-Ten Ireland Ltd,hy-ten.co.uk,h.murphy@hy-ten.co.uk,Cares UK
Hy-Ten Ltd,hy-ten.co.uk,l.birchall@hy-ten.co.uk,Cares UK
Hy-Ten Welded Mesh Company,hy-ten.co.uk,sc@hy-ten.co.uk,Cares UK
Hydnum Steel,hydnumsteel.com,,Eurometal
IC Global Supplies PTE,icglobal-supplies.com,ruethairat@icglobal-supplies.com,Cares UK
ICDAS Celik Enerji Tersane Ve Ulasim Sanayi A.S.,icdas.com.tr,mustafa.balci@icdas.com.tr,Cares UK
INHUS Prefab JSC,inhus.eu,a.norkus@inhus.eu,Cares UK
ISTA,www.ista-steel.com,,Eurometal
Instarmac Group PLC,instarmac.co.uk,shama@instarmac.co.uk,Cares UK
Ischebeck Inform UK,informuk.co.uk,trevor.larkin@informuk.co.uk,Bar UK
Italy: Federacciai,,,Eurofer
Iton-Seine SAS,rivagroup.com,abbes.hilali@rivagroup.com,Cares UK
Izmir Demir Celik Sanayi A.S.,izdemir.com.tr,s.gulseven@izdemir.com.tr,Cares UK
JINDAL STEEL & POWER LTD,jindalsteel.com,kaushik.dey@jindalsteel.com,Cares UK
Jadeela Steel Industries,jadeelasteel.com,hamdy.mohamed@jadeelasteel.com,Cares UK
James Street Steel,jss.ie,sean@jss.ie,Cares UK
Japmas Steel Sdn Bhd,lcgjapmas.com,henrylim@lcgjapmas.com,Cares UK
Jiangsu Province Binxin Steel Group Co.,126.com,sds12306@126.com,Cares UK
Jiangsu Shagang Group Co. Ltd.,shagangintl.com,wujiayun@shagangintl.com,Cares UK
Jiangsu Yonggang Group Co. Ltd,yong-gang.com,bobwang@yong-gang.com,Cares UK
Jiangyin Fasten Steel Products Co.,chinafasten.com,taojianchun@chinafasten.com,Cares UK
Jiangyin Xicheng Steel Co. Ltd,qq.com,shanshujin@qq.com,Cares UK
KASTO Maschinenbau,www.kasto.com/de/startseite.html,,Eurometal
KB Rebar Ltd.,rebar.co.uk,mc@rebar.co.uk,Cares UK
Kam Steel Integrated Company Ltd,kamholding.net,sk.moitra@kamholding.net,Cares UK
Kaptan Demir Celik Endustrisi Ve Ticaret A.S,kaptandemir.com.tr,cciritci@kaptandemir.com.tr,Cares UK
Kaptan Demir Celik Endustrisi Ve Ticaret A.S.,kaptandemir.com.tr,cciritci@kaptandemir.com.tr,Cares UK
Kardemir Celik Sanayi A.S.,kar-demir.com.tr,ersin@kar-demir.com.tr,Cares UK
