Company Name,Email Domain
Acciaieria Arvedi S.p.A.,arvedi.it
Acciaierie d’Italia S.p.A.,legalmail.it
Acerinox SA,acerinox.com
AG der Dillinger Hüttenwerke,dillinger.biz
AG Siderurgica Balboa S.A.,
Aperam,aperam.com
ArcelorMittal Group,arcelormittal.com
BSW - Badische Stahlwerke GmbH,bsw-kehl.de
CELSA Group,gcelsa.com
CMC Poland,cmc.com
Deutsche Edelstahlwerke,dew-stahl.com
Duferco Group,duferco.com
Georgsmarienhütte Group,gmh-gruppe.de
GFG Alliance-Liberty Steel,libertyhousegroup.com
Hellenic Halyvourgia,hlv.gr
MEGASA Group,megasa.com
Metinvest Europe,metinvestholding.com
NLMK Europe,nlmk.com
Officine Tecnosider,officinetecnosider.it
Outokumpu Oyj,outokumpu.com
Riva Forni Elettrici S.p.A.,rivagroup.com
Saarstahl AG,saarstahl.com
Salzgitter AG,salzgitter-ag.com
Sidenor SA - Greece,sidenor.com
SIJ Slovenian Steel Group,sij.si
SSAB AB,ssab.com
Stahl- und Walzwerk Marienhütte GmbH,marienhuette.at
Stahlwerk Thüringen GmbH,
Store Steel,store-steel.si
Tata Steel Holding Netherlands BV,
thyssenKrupp AG,thyssenkrupp.com
Trinecke Zelezarny AS,trz.cz
U.S. Steel Kosice,
Vitkovice Steel a.s.,
voestalpine AG,
Austria: Fachverband Bergwerke und Stahl,
Belgium: Groupement de la Sidérurgie asbl,steelbel.be
Bulgaria: BAMI - Bulgarian Association of the Metallurgical Industry,
Czech Republic: Ocelarska Unie - Czech Steel Union,
Finland: Metallinjalostajat - Association of the Finnish Steel and Metal Producers,
France: Alliance des Minerais Minéraux et Métaux - A3M,
Greece: Hellenic Steelmakers Union - ENXE,
Italy: Federacciai,
Poland: HIPH - Polish Steel Association,
Romania: Romanian Steel Producer Union (UniRomSider),
Spain: UNESID - Spanish Steel Association,
Sweden: Jernkontoret - The Swedish Steel Producers' Association,jernkontoret.se
Wirtschaftsvereinigung Stahl (German Steel Association),wvstahl.de
