Name,Domain
AÇOMEFER,www.acomefer.pt
ARDIMET,www.ardimet.ro
ARGE-SMD,www.wko.at
ASSOFERMET (IT),www.assofermet.it
BELMETAL (BE),www.belmetal.be
FFDM,www.ffdm.fr
MAFE,www.mafe2000.hu
NASS,www.nass.org.uk
PUDS,www.puds.pl
SSHV,www.sshv.ch
Stål og Metallgrossistenes Forening (NO),www.stalforbund.no/medlemsforetak/stal-og-metallgrossistenes-forening
Stålforeningen (DK),www.branchehuset.dk/staalforeningen.php
Stål- och Metallföreningen (SE),www.branschkansliet.se
Tekninen Kauppa (FI),www.tekninen.fi
UAHE,uahe.es
VSEMH,www.vsemh.ch
YISAD (TR),www.yisad.org.tr
Aciers Grosjean,www.aciersgrosjean.be/fr
AMDS,europe.arcelormittal.com
Cofralux,www.cofralux.com
Elastron,www.elastron.gr
Ferona,www.ferona.cz
Gökmetal,gokmetal.com.tr
Klöckner & Co,www.kloeckner.com
Knauf Interfer,www.knauf-interfer.de/home.html
MCB International,www.mcb-international.nl
Metinvest Western Europe,www.metinvestholding.com/en
Soybaş Demir Çelik,www.soybas.com
SIDMA Steel,sidma.gr
Stemcor Distribution,www.stemcor.com
Tata Steel Distribution UK,www.tatasteeleurope.com
Yametaş,yametas.com.tr
AMSCI,amsci.us
ArcelorMittal International,sections.arcelormittal.com
Cargill International Trading,www.cargill.com
CMC Deustschland,www.cmc.com
Conti 7,www.conti7.be
Eusider Trading,www.eusidertrading.com
FerroMac Europe,ferromac.com
Grosjean Steel Trading,grosjeansteeltrading.com
ISTA,www.ista-steel.com
Kovintrade,www.kovintrade.com
macroMETAL,www.macrometal.com
Manuchar Steel,www.manuchar.com
Marinho Steel,www.marinhosteel.com
MCB International,www.mcb-international.nl
POSCO Europe,www.posco.com
PRIMEX Steel Trading (Spaeter Group),www.primex-steel.de
Soybaş Demir Çelik,www.soybas.com
Steelforce,www.steelforce.eu
Steelinvest,www.steelinvest.be
Steelmont,www.steelmont.de
Stemcor,www.stemcor.com
ThoRe Steel Trading,www.thore-steel.de
Vale International,www.vale.com
Vantage Steel Group,vantagesteelgroup.com
YISAD,www.yisad.org.tr
AMCLN,www.arcelormittalcln.com
AMDS,europe.arcelormittal.com
Atlas-Blech-Center Steel (AT),www.abcsteel.at
Becker Stahl Service (DE),www.becker-stahl-service.de
Coil Pro (BE),coilpro.be
DM-Stahl (DE),www.dm-stahl.de
ELASTRON (GR),www.elastron.gr
EMW Stahl-Service-Center (DE),www.emw-stahlservice.de
Ferona (CZ),www.ferona.cz
Gökmetal (TR),gokmetal.com.tr
Heinrich Schütt  (DE),www.heinrich-schuett.de/schuett-stahl-service-center-gelsenkirchen.php
Knauf Interfer SSC (DE),www.knauf-interfer.de/home.html
Marcegaglia Carbon Steel (IT),www.marcegaglia.com
MCB (NL),www.mcb.nl
Mi-King (CZ),www.mi-king.cz
NLMK Europe SSC (EU),eu.nlmk.com/en
Salzgitter Mannesmann Stahlservice (DE),www.salzgitter-ssc.de
Soybaş Demir Çelik,www.soybas.com
SIDMA Steel (GR),sidma.gr
SLC,www.slc-wien.at
STAHLO Stahlservice (DE),www.stahlo.de
Tata Steel Distribution Mainland (EU),www.tatasteeleurope.com
Tata Steel Distribution (UK) & (IR),www.tatasteeleurope.com
Van Heyghen Staal (BE) & (PL),www.vanheyghenstaal.be
Vogten Staal (NL),vogtenstaal.com
William King (UK),www.williamking.co.uk
Yametaş (TR),yametas.com.tr
Burghardt + Schmidt,b-s-germany.de
COMET Group,www.cometgroup.be
CONADIAC,www.conadiac.org.mx
Conti-Lines,www.contilines.be
GreenSteel SL,www.taiichio-wolf.com
Heinrich Georg Maschinenfabrik,www.georg.com/de
Hydnum Steel,hydnumsteel.com
KASTO Maschinenbau,www.kasto.com/de/startseite.html
Kübler HeizWerk,www.kuebler-hallenheizungen.de/de
London Metal Exchange,www.lme.com
Metais Jaime Dias,www.mjd.pt
Metalogalva,metalogalva.pt/en
itandsp.com,www.itandsp.com
Pesmel Corporation,pesmel.com/industry/metal-industry
RCG,rcg-ag.com
RCT Stevedoring,www.rct-stevedoring.com
Resourex,resourex.com
SSAB Swedish Steel,ssab.com
Steeldip,steeldip.com
Steeltrax,steeltrax.pt
Tata Steel IJmuiden,www.tatasteeleurope.com
Vanilla Steel,www.vanillasteel.com
